brand,policy,tracking,social,engage,governance,score,brand_id
Chanel,0,0,29,0,0,10,63.0
Hermes,43,0,21,0,14,17,202.0
Claire's Accessories,29,0,29,0,14,17,
Forever 21,14,0,43,0,14,19,143.0
Fendi,14,0,43,0,14,19,262.0
LVMH,14,0,43,0,14,19,
Monsoon Accessorize,29,11,29,10,14,20,
Prada,43,22,7,20,29,21,365.0
Michael Kors,29,0,50,0,0,21,
Aeropostale,29,11,43,0,14,24,
Under Armour,29,0,43,10,29,25,
Ralph Lauren,57,0,57,0,29,33,394.0
Polo Ralph Lauren,57,0,57,0,29,33,393.0
URBN,29,33,43,0,43,33,
New Look,57,33,21,50,43,37,
Gucci,64,33,29,10,43,38,248.0
Victoria's Secret,64,0,64,10,43,40,
Hugo Boss,50,11,71,0,43,42,216.0
J Crew,57,22,57,10,43,42,
ASOS,64,28,43,20,57,43,26.0
Burberry,64,6,50,20,71,43,53.0
Coach,57,11,64,0,57,43,67.0
Lululemon,71,39,50,20,29,44,
Next,71,28,43,50,43,45,329.0
Abercrombie & Fitch,71,11,64,20,43,45,1.0
Arcadia Group,64,50,50,10,57,49,
Topshop,64,50,50,10,57,49,441.0
Mango,57,33,64,40,43,50,268.0
American Eagle,57,28,79,30,43,52,
Gildan Activewear,57,22,71,40,71,55,
Uniqlo,79,11,71,40,71,56,445.0
Converse,79,39,57,20,86,57,
Nike,79,39,57,20,86,57,
PVH,64,44,79,40,43,58,
Gap,100,44,71,50,57,65,153.0
Primark,86,56,64,60,71,67,
Adidas,79,72,71,80,57,69,4.0
H&M,79,83,71,80,71,76,178.0
Inditex,79,61,93,80,100,76,
Levi Strauss & Co,86,61,86,60,86,77,
